,acousticness_1,danceability_1,energy_1,instrumentalness_1,liveness_1,loudness_1,mode_1,speechiness_1,tempo_1,time_signature_1,type_1,valence_1,acousticness_2,danceability_2,energy_2,instrumentalness_2,liveness_2,loudness_2,mode_2,speechiness_2,tempo_2,time_signature_2,type_2,valence_2
0,0.122,0.654,0.772,6.27e-05,0.219,-5.169,1,0.0589,103.999,4,audio_features,0.452,0.00934,0.213,0.459,0.0223,0.41,-9.873,1,0.0448,85.108,3,audio_features,0.0726
0,0.395,0.588,0.834,4.13e-06,0.127,-4.367,1,0.0466,79.959,4,audio_features,0.461,0.713,0.416,0.129,0.0,0.0918,-13.173,1,0.103,138.404,4,audio_features,0.278
0,0.209,0.667,0.798,0.015,0.0972,-5.935,1,0.0675,114.981,4,audio_features,0.485,0.778,0.413,0.792,0.292,0.0727,-7.951,1,0.261,138.228,4,audio_features,0.0386
0,0.297,0.586,0.567,0.0,0.101,-8.832,1,0.0522,132.027,4,audio_features,0.383,0.711,0.505,0.246,0.0,0.411,-12.258,1,0.157,178.577,4,audio_features,0.512
0,0.713,0.629,0.53,0.0274,0.412,-9.943,0,0.0556,99.806,4,audio_features,0.78,0.223,0.631,0.705,3.2e-05,0.128,-2.941,0,0.0344,101.075,4,audio_features,0.382
0,0.00165,0.548,0.889,0.00109,0.197,-4.682,1,0.0382,90.048,4,audio_features,0.425,0.0298,0.446,0.701,8.89e-06,0.0931,-4.179,0,0.0295,159.958,3,audio_features,0.394
0,0.169,0.619,0.623,1.6e-06,0.1,-6.139,0,0.0524,121.024,4,audio_features,0.278,0.00446,0.791,0.754,0.0,0.163,-3.729,1,0.0569,125.014,4,audio_features,0.425
0,0.00446,0.791,0.754,0.0,0.163,-3.729,1,0.0569,125.014,4,audio_features,0.425,0.743,0.681,0.292,0.0,0.0974,-9.599,1,0.0483,64.002,4,audio_features,0.162
0,0.693,0.47,0.221,0.0,0.104,-9.243,1,0.0371,133.714,4,audio_features,0.264,0.0168,0.518,0.587,1.19e-06,0.206,-7.937,1,0.12,98.367,4,audio_features,0.631
0,0.0316,0.457,0.701,0.0,0.0956,-4.087,1,0.132,97.061,4,audio_features,0.62,0.779,0.686,0.288,0.00304,0.115,-11.533,1,0.03,111.036,4,audio_features,0.214
0,0.779,0.686,0.288,0.00304,0.115,-11.533,1,0.03,111.036,4,audio_features,0.214,0.479,0.938,0.549,3.92e-05,0.101,-4.884,1,0.067,115.036,4,audio_features,0.52
0,0.327,0.672,0.498,0.000994,0.163,-10.059,0,0.0355,143.196,4,audio_features,0.213,0.0112,0.578,0.694,0.0,0.102,-5.351,1,0.0706,129.921,4,audio_features,0.268
0,0.0112,0.578,0.694,0.0,0.102,-5.351,1,0.0706,129.921,4,audio_features,0.268,0.0426,0.552,0.915,5.14e-05,0.0833,-3.435,0,0.0658,90.051,4,audio_features,0.767
0,0.669,0.642,0.289,0.0,0.18,-9.918,1,0.0367,84.996,4,audio_features,0.407,0.139,0.846,0.815,2.19e-06,0.131,-4.512,1,0.0761,118.999,4,audio_features,0.831
0,0.669,0.642,0.289,0.0,0.18,-9.918,1,0.0367,84.996,4,audio_features,0.407,0.0324,0.752,0.775,0.0,0.351,-7.289,1,0.0546,122.014,4,audio_features,0.595
0,0.0324,0.752,0.775,0.0,0.351,-7.289,1,0.0546,122.014,4,audio_features,0.595,0.669,0.642,0.289,0.0,0.18,-9.918,1,0.0367,84.996,4,audio_features,0.407
0,0.00546,0.806,0.867,0.000201,0.0568,-2.425,0,0.0357,113.993,4,audio_features,0.895,0.615,0.661,0.373,0.0,0.177,-8.249,1,0.0505,91.5,4,audio_features,0.523
0,0.101,0.751,0.732,4.46e-05,0.119,-7.616,0,0.0517,100.02,4,audio_features,0.675,0.467,0.649,0.579,0.0,0.148,-5.687,1,0.0335,122.983,4,audio_features,0.286
0,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,audio_features,0.913,0.928,0.388,0.372,0.0,0.146,-5.72,1,0.0468,89.701,4,audio_features,0.285
0,0.173,0.579,0.669,2.35e-06,0.098,-7.188,1,0.158,170.062,4,audio_features,0.548,0.365,0.479,0.545,0.0,0.0963,-7.346,1,0.0688,74.897,4,audio_features,0.244
0,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0,0.141,169.977,4,audio_features,0.648,0.165,0.612,0.674,2.15e-06,0.354,-7.063,1,0.0386,115.939,4,audio_features,0.296
0,0.0535,0.713,0.727,0.0,0.097,-7.312,1,0.101,134.921,4,audio_features,0.528,0.26,0.706,0.786,0.0,0.38,-3.417,0,0.0909,150.035,4,audio_features,0.749
0,6.79e-05,0.487,0.9,0.0,0.358,-4.417,1,0.0482,149.937,4,audio_features,0.484,0.0661,0.739,0.471,9.78e-05,0.116,-8.456,1,0.0436,90.002,4,audio_features,0.31
0,0.00579,0.588,0.821,0.000275,0.208,-6.54,0,0.216,188.098,4,audio_features,0.509,0.016,0.807,0.887,0.000503,0.0811,-4.311,0,0.0361,122.015,4,audio_features,0.606
0,0.0863,0.663,0.675,0.00133,0.117,-12.159,1,0.0359,101.004,4,audio_features,0.176,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,audio_features,0.533
0,0.588,0.418,0.42,6.39e-05,0.11,-6.444,1,0.0414,84.094,4,audio_features,0.184,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,1,0.0824,114.988,4,audio_features,0.928
0,0.0425,0.511,0.574,2.33e-05,0.105,-7.016,1,0.0273,119.917,4,audio_features,0.161,0.00456,0.867,0.517,0.000339,0.0864,-13.222,0,0.0875,133.148,4,audio_features,0.866
0,0.0425,0.486,0.71,7.55e-06,0.108,-5.501,1,0.0429,145.821,4,audio_features,0.438,0.0544,0.656,0.841,0.0,0.122,-5.183,0,0.232,65.024,4,audio_features,0.522
0,0.225,0.83,0.585,0.00209,0.0576,-5.802,1,0.0366,105.03,4,audio_features,0.642,0.0142,0.69,0.897,0.0,0.108,-4.696,0,0.0506,140.05,4,audio_features,0.849
0,0.239,0.712,0.647,0.0,0.0955,-4.277,1,0.0336,113.116,4,audio_features,0.292,0.194,0.709,0.822,0.000153,0.119,-6.178,1,0.0341,92.409,4,audio_features,0.456
0,0.326,0.571,0.551,0.00499,0.122,-8.632,0,0.0485,78.373,4,audio_features,0.615,0.13,0.207,0.573,0.196,0.0798,-13.415,1,0.0803,180.064,3,audio_features,0.0744
0,0.898,0.612,0.276,0.864,0.0867,-11.932,1,0.0358,98.61,4,audio_features,0.206,0.898,0.612,0.276,0.864,0.0867,-11.932,1,0.0358,98.61,4,audio_features,0.206
0,0.0123,0.568,0.712,0.000138,0.0782,-5.418,1,0.0466,119.031,4,audio_features,0.248,0.269,0.64,0.743,0.0,0.101,-4.08,1,0.0379,122.035,4,audio_features,0.361
0,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,audio_features,0.913,0.612,0.686,0.469,0.0,0.121,-9.065,1,0.291,72.998,4,audio_features,0.156
0,0.0111,0.515,0.918,0.0,0.27,-1.912,0,0.0622,150.978,4,audio_features,0.759,0.156,0.571,0.675,1.67e-06,0.0929,-9.231,0,0.125,160.043,4,audio_features,0.129
0,0.269,0.64,0.743,0.0,0.101,-4.08,1,0.0379,122.035,4,audio_features,0.361,0.0051,0.478,0.929,1.03e-05,0.348,-3.192,1,0.032,142.956,4,audio_features,0.749
0,0.269,0.64,0.743,0.0,0.101,-4.08,1,0.0379,122.035,4,audio_features,0.361,0.0829,0.508,0.786,0.0,0.445,-4.02,1,0.0361,89.962,4,audio_features,0.397
0,0.0829,0.508,0.786,0.0,0.445,-4.02,1,0.0361,89.962,4,audio_features,0.397,0.311,0.21,0.502,0.00575,0.177,-11.2,1,0.0425,115.795,4,audio_features,0.0575
0,0.311,0.21,0.502,0.00575,0.177,-11.2,1,0.0425,115.795,4,audio_features,0.0575,0.0403,0.493,0.931,0.00228,0.258,-4.387,1,0.0482,168.019,4,audio_features,0.295
0,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,1,0.0815,80.025,4,audio_features,0.283,0.000199,0.418,0.969,3.51e-05,0.0811,-2.804,1,0.347,211.96,4,audio_features,0.251
0,0.927,0.362,0.0304,0.000634,0.0848,-19.085,1,0.0485,135.1,4,audio_features,0.124,0.00451,0.609,0.73,0.0,0.0482,-4.669,0,0.0668,91.215,4,audio_features,0.414
0,0.031,0.516,0.749,0.0,0.205,-4.091,1,0.0692,125.92,4,audio_features,0.356,0.149,0.449,0.602,0.0,0.141,-4.8,0,0.0264,170.04,3,audio_features,0.32
0,0.00223,0.682,0.576,0.000894,0.112,-7.342,1,0.0264,105.989,4,audio_features,0.896,0.462,0.697,0.877,0.00943,0.083,-4.465,1,0.0462,101.99,4,audio_features,0.802
0,0.165,0.579,0.683,0.0,0.146,-5.559,1,0.0369,82.468,4,audio_features,0.396,0.0812,0.756,0.589,0.0,0.176,-5.093,1,0.232,146.928,4,audio_features,0.811
0,0.156,0.571,0.675,1.67e-06,0.0929,-9.231,0,0.125,160.043,4,audio_features,0.129,0.00129,0.64,0.92,0.0,0.0914,-2.597,1,0.0594,143.434,4,audio_features,0.361
0,0.00129,0.64,0.92,0.0,0.0914,-2.597,1,0.0594,143.434,4,audio_features,0.361,0.876,0.246,0.301,1.19e-05,0.109,-8.714,0,0.0281,77.572,3,audio_features,0.193
0,0.876,0.246,0.301,1.19e-05,0.109,-8.714,0,0.0281,77.572,3,audio_features,0.193,0.0386,0.827,0.697,0.0,0.0556,-4.288,1,0.0808,100.013,4,audio_features,0.799
0,0.125,0.612,0.744,2.57e-06,0.0978,-5.671,1,0.033,113.009,4,audio_features,0.527,0.0714,0.763,0.807,0.28,0.348,-3.714,1,0.035,103.038,3,audio_features,0.559
0,0.0039,0.484,0.827,0.00143,0.0876,-5.324,1,0.046,179.566,4,audio_features,0.717,0.0505,0.748,0.504,5.09e-06,0.109,-5.944,1,0.095,116.07,4,audio_features,0.66
0,0.0368,0.663,0.878,3.39e-06,0.328,-3.195,0,0.0646,158.035,4,audio_features,0.704,0.0291,0.572,0.685,0.0,0.0963,-7.29,1,0.0356,110.698,4,audio_features,0.232
0,0.0276,0.519,0.512,8.78e-05,0.0976,-7.986,1,0.0282,138.596,4,audio_features,0.441,0.099,0.674,0.813,0.000256,0.0857,-5.825,1,0.0535,166.054,4,audio_features,0.969
0,0.0495,0.612,0.807,0.0177,0.101,-2.81,1,0.0336,124.053,4,audio_features,0.398,0.000763,0.475,0.826,0.0,0.25,-5.372,1,0.0548,74.999,4,audio_features,0.779
0,0.862,0.186,0.29,0.0,0.13,-9.008,1,0.0333,68.992,4,audio_features,0.0776,0.00382,0.61,0.683,1.79e-06,0.125,-3.879,0,0.0253,108.003,4,audio_features,0.466
0,0.179,0.515,0.663,0.668,0.494,-7.896,0,0.0328,120.024,4,audio_features,0.0756,0.0865,0.629,0.852,0.0215,0.263,-5.094,1,0.0521,104.997,4,audio_features,0.415
0,0.0155,0.566,0.587,2.05e-05,0.111,-5.96,1,0.0308,82.046,4,audio_features,0.246,3.4e-05,0.517,0.66,0.252,0.571,-6.175,0,0.0315,90.007,4,audio_features,0.0701
0,0.00534,0.663,0.84,0.342,0.169,-5.618,0,0.0453,108.022,4,audio_features,0.2,0.0398,0.294,0.697,0.00011,0.136,-6.029,1,0.128,160.566,4,audio_features,0.183
0,0.0398,0.294,0.697,0.00011,0.136,-6.029,1,0.128,160.566,4,audio_features,0.183,0.00258,0.538,0.596,0.564,0.0835,-8.389,1,0.045,107.756,4,audio_features,0.0483
0,0.00258,0.538,0.596,0.564,0.0835,-8.389,1,0.045,107.756,4,audio_features,0.0483,0.485,0.652,0.0475,0.231,0.143,-27.987,1,0.17,59.608,3,audio_features,0.607
0,0.0407,0.482,0.694,0.0559,0.102,-6.726,1,0.0673,122.542,4,audio_features,0.285,0.689,0.157,0.619,0.934,0.12,-8.634,0,0.047,86.427,4,audio_features,0.144
0,0.0407,0.482,0.694,0.0559,0.102,-6.726,1,0.0673,122.542,4,audio_features,0.285,0.372,0.476,0.81,0.00332,0.0916,-4.917,1,0.074,113.815,4,audio_features,0.357
0,0.0753,0.788,0.703,6.13e-05,0.333,-5.986,0,0.127,104.049,4,audio_features,0.442,0.127,0.588,0.653,0.0,0.423,-5.645,0,0.0373,104.897,3,audio_features,0.18
0,0.127,0.588,0.653,0.0,0.423,-5.645,0,0.0373,104.897,3,audio_features,0.18,0.561,0.505,0.809,9.56e-06,0.562,-4.451,0,0.205,99.758,4,audio_features,0.484
0,0.561,0.505,0.809,9.56e-06,0.562,-4.451,0,0.205,99.758,4,audio_features,0.484,0.122,0.654,0.772,6.27e-05,0.219,-5.169,1,0.0589,103.999,4,audio_features,0.452
0,0.0794,0.505,0.734,0.417,0.102,-5.635,0,0.039,107.009,4,audio_features,0.185,0.395,0.588,0.834,4.13e-06,0.127,-4.367,1,0.0466,79.959,4,audio_features,0.461
0,3.06e-05,0.313,0.8,0.0,0.497,-5.011,1,0.0683,183.047,4,audio_features,0.871,0.209,0.667,0.798,0.015,0.0972,-5.935,1,0.0675,114.981,4,audio_features,0.485
0,0.754,0.486,0.231,0.0,0.37,-10.277,1,0.0494,122.755,4,audio_features,0.327,0.52,0.715,0.513,0.0049,0.135,-9.506,1,0.183,136.029,4,audio_features,0.372
0,0.805,0.887,0.278,0.0135,0.0962,-11.424,1,0.0796,134.05,4,audio_features,0.516,0.42,0.627,0.585,0.0,0.705,-5.76,0,0.0395,119.9,4,audio_features,0.361
0,0.42,0.627,0.585,0.0,0.705,-5.76,0,0.0395,119.9,4,audio_features,0.361,0.437,0.717,0.487,0.000374,0.162,-6.831,1,0.051,93.992,4,audio_features,0.165
0,0.437,0.717,0.487,0.000374,0.162,-6.831,1,0.051,93.992,4,audio_features,0.165,0.0631,0.736,0.538,0.0,0.121,-5.263,0,0.0477,110.043,4,audio_features,0.366
0,0.0631,0.736,0.538,0.0,0.121,-5.263,0,0.0477,110.043,4,audio_features,0.366,0.138,0.74,0.533,4.99e-05,0.127,-10.294,1,0.0824,92.005,4,audio_features,0.313
0,0.711,0.505,0.246,0.0,0.411,-12.258,1,0.157,178.577,4,audio_features,0.512,0.713,0.629,0.53,0.0274,0.412,-9.943,0,0.0556,99.806,4,audio_features,0.78
